name,city,lon,lat,id
Karl-Theodor-Straße,München,48.1668,11.574,306
Clemensstraße,München,48.1635,11.5746,307
Griegstraße,München,48.1817,11.5849,308
Klopstockstraße,München,48.1761,11.5793,309
Domagkstraße West,München,48.1843,11.5846,310
Ingolstädter Straße,München,48.1879,11.5844,311
Funkkaserne West,München,48.1877,11.5946,312
Max-Bill-Straße,München,48.1877,11.5946,313
Lilienthalallee Süd,München,48.1869,11.6025,314
Funkkaserne,München,48.1869,11.6025,315
Joseph-Dollinger-Bogen,München,48.1864,11.6066,316
Autobahn Nord,München,48.1864,11.6066,317
Kieferngarten,München,48.2027,11.6125,318
Heckscherstraße,München,48.1724,11.5824,319
Wilhelm-Hertz-Straße,München,48.176,11.5854,320
Parzivalplatz,München,48.1711,11.5859,321
Potsdamer Straße,München,48.1673,11.5862,322
Kölner Platz,München,48.1701,11.5774,323
Neuherbergstraße,München,48.2104,11.5871,324
Anton-Will-Straße,München,48.2057,11.5862,325
Heidemannstraße,München,48.201,11.5853,326
Gundelkoferstraße,München,48.1959,11.5843,327
Werner-Egk-Bogen,München,48.2015,11.598,328
Paracelsusstraße,München,48.2013,11.5895,329
Grusonstraße,München,48.2017,11.5934,330
Euro-Industriepark Nord,München,48.2009,11.6026,331
Paul-Hindemith-Allee,München,48.2005,11.6057,332
Bernsteinweg,München,48.2009,11.6118,333
Rockefellerstraße,München,48.2107,11.5753,334
Rose-Pichler-Weg,München,48.2108,11.5821,335
Alfred-Arndt-Straße,München,48.183,11.5967,336
Gertrud-Grunow-Straße,München,48.183,11.5967,337
Untere Länge,München,48.2058,11.5942,338
Kollwitzstraße,München,48.1982,11.5848,339
Pündterplatz,München,48.1626,11.5768,340
Keilberthstraße,München,48.2053,11.5996,341
Gustav-Mahler-Straße,München,48.2022,11.6031,342
Bismarckstraße,München,48.1625,11.5823,343
Zaunweg,München,48.1807,11.6013,344
Freiligrathstraße,München,48.1782,11.5852,345
Schwabinger Tor,München,48.1727,11.5864,346
Edmund-Rumpler-Straße,München,48.1951,11.6089,347
Lindberghstraße,München,48.1917,11.6058,348
Freimanner Hölzl,München,48.192,11.6013,349
Fröttmaning,München,48.2116,11.6166,350
Münchner Freiheit,München,48.1619,11.5863,351
Am Münchner Tor,München,48.1761,11.5883,352
Domagkstraße,München,48.1842,11.5904,353
Schwabing Nord,München,48.1875,11.5912,354
Dietlindenstraße,München,48.1666,11.5903,355
Osterwaldstraße,München,48.1634,11.5963,356
Herzogpark,München,48.1561,11.6071,357
Barlachstraße,München,48.1775,11.5756,358
Amsterdamer Straße,München,48.1696,11.5992,359
Nordfriedhof,München,48.1734,11.5974,360
Alte Heide,München,48.1795,11.6039,361
Studentenstadt,München,48.1833,11.608,362
Situlistraße,München,48.1901,11.6155,363
Floriansmühlstraße,München,48.1916,11.621,364
Emmerigweg,München,48.1954,11.6241,365
Josef-Wirth-Weg,München,48.199,11.6263,366
Großlappen,München,48.2044,11.6295,367
Wallnerstraße,München,48.2104,11.6333,368
Fröttmaning Auensiedlung,München,48.2146,11.6355,369
Bayerischer Rundfunk,München,48.1901,11.6274,370
Kufsteiner Platz,München,48.1502,11.6022,371
Redwitzstraße,München,48.1555,11.6086,372
Gustav-Freytag-Straße,München,48.1588,11.6119,373
Gellertstraße,München,48.1626,11.6152,374
Rümelinstraße,München,48.1664,11.6184,375
Poschingerstraße,München,48.1526,11.6059,376
Regina-Ullmann-Straße,München,48.1699,11.6351,377
Bichlhofweg,München,48.169,11.6434,378
Böhmerwaldplatz,München,48.1429,11.6154,379
Prinzregentenplatz,München,48.1393,11.607,380
Max-Weber-Platz,München,48.1357,11.5979,381
Max-Weber-Platz (Johannispl.),München,48.1344,11.5981,382
Lehel,München,48.1396,11.5886,383
Grimmeisenstraße,München,48.1652,11.6447,384
St. Emmeram,München,48.176,11.6305,385
Fritz-Meyer-Weg,München,48.1725,11.6366,386
Johanneskirchner Straße,München,48.1677,11.6436,387
Stegmühlstraße,München,48.1625,11.6451,388
Freischützstraße,München,48.1587,11.6421,389
Englschalkinger Straße,München,48.1567,11.6418,390
Memeler Straße,München,48.1532,11.6413,391
Zoppoter Straße,München,48.1506,11.6407,392
Posener Platz,München,48.1482,11.6405,393
Warthestraße,München,48.1463,11.6372,394
Vollmannstraße,München,48.1474,11.6283,395
Moselstraße,München,48.1418,11.6272,396
Vogelweideplatz,München,48.1373,11.6203,397
Steinhausen,München,48.1373,11.6203,398
Schwarzwaldstraße,München,48.1391,11.6288,399
Odinpark,München,48.158,11.6193,400
Daphnestraße,München,48.1481,11.6254,401
Priel,München,48.1609,11.6221,402
Effnerstraße,München,48.1631,11.624,403
Grüntal,München,48.1687,11.6215,404
Isarring,München,48.1538,11.6114,405
Mahirstraße,München,48.156,11.6139,406
Odinstraße,München,48.1586,11.6161,407
Wahnfriedallee,München,48.1619,11.6192,408
Lohengrinstraße,München,48.1642,11.6218,409
Bürgerpark Oberföhring,München,48.1662,11.6234,410
Oberföhring Post,München,48.172,11.6267,411
Bernheimerstraße,München,48.1736,11.6286,412
Muspillistraße,München,48.1698,11.6244,413
Sondermeierstraße,München,48.1908,11.6243,414
Altenheim Effnerstraße,München,48.159,11.6206,415
Prinz-Eugen-Park,München,48.1625,11.6292,416
Schlösselgarten,München,48.1587,11.629,417
Wilhelm-Dieß-Weg,München,48.1551,11.6373,418
Knappertsbuschstraße,München,48.1603,11.6404,419
Bruno-Walter-Ring,München,48.1627,11.6406,420
Taimerhofstraße,München,48.1668,11.6309,421
Pühnstraße,München,48.1467,11.632,422
Zamdorfer Straße,München,48.1382,11.6351,423
Friedrich-Eckart-Straße,München,48.1403,11.6363,424
Zamdorf Siedlung,München,48.14,11.6434,425
Süskindstraße,München,48.1399,11.6476,426
Kastenbauerstraße,München,48.1387,11.6395,427
Riedenburger Straße,München,48.136,11.6238,428
Kronstadter Straße,München,48.1387,11.6473,429
Zamilapark,München,48.1423,11.6496,430
Effnerplatz,München,48.1522,11.6136,431
Arabellastraße,München,48.1536,11.6178,432
Elektrastraße,München,48.1512,11.6266,433
Cosimabad,München,48.1535,11.6289,434
Denninger Straße,München,48.1485,11.6224,435
Arabellapark/Klinikum Bogenh.,München,48.1537,11.6232,436
Rappelhofstraße,München,48.1401,11.6482,437
Ruth-Schaumann-Straße,München,48.1422,11.6475,438
Einsteinstraße,München,48.1369,11.6149,439
Zaubzerstraße,München,48.1395,11.6148,440
Arabellapark,München,48.1533,11.6204,441
Arabellapark Nord,München,48.1537,11.6207,442
Richard-Strauss-Straße,München,48.1489,11.6163,443
Nettelbeckstraße,München,48.143,11.639,444
Hermann-Gmeiner-Weg,München,48.1464,11.64,445
Daglfing,München,48.149,11.6494,446
Marienburger Straße,München,48.1472,11.6437,447
Schichtlstraße,München,48.1471,11.6585,448
Trabrennbahn,München,48.1429,11.6613,449
Daglfing Bahnhof Ost,München,48.1489,11.6501,450
Daglfing Bahnhof West,München,48.1485,11.6485,451
Englschalking,München,48.1566,11.6484,452
Johanneskirchen,München,48.1694,11.6466,453
Johanneskirchen Bf West,München,48.1693,11.6446,454
Kunihohstraße,München,48.1498,11.6579,455
Westerlandanger,München,48.1622,11.6626,456
Lübecker Straße,München,48.167,11.6593,457
Burgauerstraße,München,48.1399,11.6551,458
Rennbahnstraße,München,48.1406,11.662,459
Milbertshofen,München,48.1812,11.5731,460
Bremer Straße,München,48.1892,11.5699,461
Frankfurter Ring,München,48.1875,11.5727,462
Korbinianplatz,München,48.1859,11.5728,463
Knorrstraße,München,48.1916,11.5724,464
Max-Diamand-Straße,München,48.1915,11.5675,465
Preußenstraße,München,48.1864,11.5577,466
BMW-FIZ,München,48.1935,11.5706,467
Am Hart Süd,München,48.195,11.5721,468
Oberhofer Weg,München,48.1923,11.5749,469
Anton-Ditt-Bogen,München,48.1913,11.5822,470
Am Hart,München,48.197,11.5718,471
Hufelandstraße,München,48.1926,11.5794,472
Lotte-Branz-Straße,München,48.1923,11.5903,473
Margot-Kalinke-Straße,München,48.1928,11.5961,474
Maria-Probst-Straße,München,48.1929,11.5993,475
Harthof,München,48.2049,11.5682,476
Helene-Wessel-Bogen,München,48.1963,11.5925,477
Dülferstraße,München,48.2128,11.5625,478
Aschenbrennerstraße,München,48.22,11.5607,479
Hasenbergl,München,48.2132,11.5563,480
Caracciolastraße,München,48.2072,11.5634,481
Riem,München,48.1434,11.679,482
Kirchtruderinger Straße,München,48.1263,11.674,483
Truchthari-Anger,München,48.1291,11.6765,484
Friedhof Riem,München,48.1326,11.6797,485
Schwankhardtweg,München,48.1351,11.6814,486
Martin-Empl-Ring,München,48.1407,11.6817,487
Heltauer Straße,München,48.1303,11.6579,488
Umschlagbahnhof,München,48.1444,11.7058,489
Hofbräuallee,München,48.1438,11.7009,490
Tierheim,München,48.1399,11.6692,491
Graf-Lehndorff-Straße,München,48.1405,11.6804,492
Am Messesee,München,48.1355,11.6902,493
Paul-Henri-Spaak-Straße,München,48.1385,11.6893,494
An der Point,München,48.1409,11.6854,495
Lehrer-Wirth-Straße,München,48.1295,11.6946,496
Helsinkistraße,München,48.1295,11.6894,497
Mutter-Teresa-Straße,München,48.1295,11.6997,498
Selma-Lagerlöf-Straße,München,48.1296,11.7027,499
Paul-Wassermann-Straße,München,48.1355,11.6855,500
August-Everding-Straße,München,48.1255,11.61,501
Ostbahnhof (Post),München,48.1288,11.6047,502
Ostbahnhof (Bildungszentrum),München,48.1274,11.6026,503
Baumkirchner Platz,München,48.1308,11.6319,504
Altöttinger Straße,München,48.1265,11.6218,505
Ostbahnhof Friedenstraße,München,48.127,11.6069,506
Grafinger Straße,München,48.1246,11.6193,507
Neumarkter Straße,München,48.1313,11.6281,508
Sankt Pius,München,48.1247,11.6132,509
Berg am Laim Bf Süd,München,48.1332,11.6326,510
Leuchtenbergring,München,48.1343,11.616,511
Ampfingstraße,München,48.1309,11.6157,512
Schlüsselbergstraße,München,48.1298,11.6228,513
Baumkirchner Straße,München,48.1283,11.6304,514
Mutschellestraße,München,48.1267,11.6382,515
St.-Veit-Straße,München,48.1218,11.6421,516
Sankt Michael,München,48.1239,11.6324,517
Schmuckerweg,München,48.1215,11.671,518
Bajuwarenstraße,München,48.124,11.6668,519
Berg am Laim,München,48.1361,11.6337,520
Halligenplatz,München,48.1192,11.6605,521
St.-Augustinus-Straße,München,48.1171,11.6566,522
Matterhornstraße,München,48.1147,11.6523,523
Peschelanger,München,48.1091,11.6547,524
Friedrich-Engels-Bogen,München,48.1058,11.659,525
Hugo-Lang-Bogen,München,48.1035,11.6591,526
Oskar-Maria-Graf-Ring,München,48.0988,11.6572,527
Trudering,München,48.1255,11.6633,528
Mühldorfstraße,München,48.1266,11.6135,529
"Truderinger Straße, Brücke",München,48.1277,11.6559,530
Halfinger Straße,München,48.126,11.6555,531
Truderinger Straße,München,48.126,11.6612,532
Nikolaus-Prugger-Weg,München,48.1194,11.6767,533
Friedenspromenade,München,48.1184,11.6834,534
Bahnstraße,München,48.1155,11.6952,535
Phantasiestraße,München,48.1132,11.7011,536
Von-Erckert-Straße,München,48.1114,11.7093,537
Florastraße,München,48.1174,11.6822,538
Edeltraudstraße,München,48.1146,11.6869,539
Turnerstraße,München,48.1117,11.6907,540
Birkhahnweg,München,48.1085,11.6944,541
Waldtruderinger Straße,München,48.1085,11.6944,542
Togostraße,München,48.1064,11.6971,543
Sperberstraße,München,48.1076,11.7,544
Drosselweg,München,48.1175,11.6908,545
Iltisstraße,München,48.1038,11.7041,546
Ursberger Straße,München,48.131,11.6451,547
Thomas-Hauser-Straße,München,48.1295,11.6507,548
Rofanstraße,München,48.1198,11.6502,549
Gnadenwaldplatz,München,48.118,11.6539,550
Mönchbergstraße,München,48.1158,11.6597,551
Simplonstraße,München,48.1146,11.6628,552
Himalajastraße,München,48.1131,11.6665,553
Batschkastraße,München,48.1145,11.6674,554
Spertentalstraße,München,48.1177,11.6698,555
Zauberwaldstraße,München,48.1138,11.6718,556
Markgrafenstraße,München,48.1112,11.6737,557
Vogesenstraße,München,48.1095,11.6712,558
Feldbergstraße,München,48.1084,11.6638,559
Am Hochacker,München,48.1056,11.6678,560
Hippelstraße,München,48.1021,11.6654,561
Lamprechtstraße,München,48.1014,11.6691,562
Friesplatz,München,48.1002,11.6725,563
Nauestraße,München,48.0988,11.6772,564
Alois-Hahn-Weg,München,48.1051,11.6618,565
Kafkastraße,München,48.0985,11.6488,566
Sudermannallee,München,48.0975,11.6527,567
Klinikum Neuperlach,München,48.0963,11.6554,568
Tribulaunstraße,München,48.0942,11.6538,569
Im Gefilde,München,48.0907,11.6617,570
Eulenspiegelstraße,München,48.088,11.6691,571
Waldheimplatz,München,48.0857,11.6747,572
Waldperlach,München,48.0821,11.6723,573
Salzmannstraße,München,48.0812,11.6768,574
Schatzbogen,München,48.1331,11.6603,575
Otto-Hahn-Ring,München,48.0922,11.649,576
Stahlgruberring,München,48.1345,11.6638,577
Karl-Schmid-Straße,München,48.1322,11.6691,578
Moosfeld Gewerbegebiet,München,48.1359,11.6679,579
Putzbrunner Straße,München,48.0964,11.6464,580
Ottilienstraße,München,48.1141,11.6774,581
Isengaustraße,München,48.0864,11.6618,582
Klara-Ziegler-Bogen,München,48.084,11.6613,583
Görzer Straße Schule,München,48.1046,11.6092,584
Sigmund-Riefler-Bogen,München,48.1367,11.7153,585
Am Hain,München,48.0832,11.6803,586
Wilhelm-Hale-Straße,München,48.1454,11.5201,587
