ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3784,1.7272,55.3848,130.6152,1738.7942
3785,1.728,55.6614,131.3386,1738.7942
3786,1.7428,55.943,132.057,1771.0342
3787,1.7514,56.2276,132.7724,1791.9838
3788,1.7514,56.5122,133.4878,1791.9838
3789,1.7624,56.7966,134.2034,1814.1779
3790,1.7668,57.0834,134.9166,1823.0178
3791,1.767,57.37,135.63,1823.0178
3792,1.768,57.6556,136.3444,1823.0178
3793,1.768,57.9412,137.0588,1823.0178
3794,1.7808,58.22,137.78,1833.8538
3795,1.7808,58.4988,138.5012,1833.8538
3796,1.7808,58.7776,139.2224,1833.8538
3797,1.7816,59.0556,139.9444,1833.8538
3798,1.7824,59.3328,140.6672,1833.8538
3799,1.7868,59.611,141.389,1842.624
3800,1.7868,59.8892,142.1108,1842.624
3801,1.7886,60.1656,142.8344,1842.624
3802,1.7886,60.442,143.558,1842.624
3803,1.7964,60.7218,144.2782,1857.8224
3804,1.8022,61.0042,144.9958,1874.9456
3805,1.8122,61.2826,145.7174,1887.2756
3806,1.8122,61.561,146.439,1887.2756
3807,1.8242,61.8434,147.1566,1901.9796
3808,1.835,62.12,147.88,1909.6927
3809,1.8362,62.3954,148.6046,1909.6927
3810,1.878,62.6616,149.3384,1951.8932
3811,1.88,62.9286,150.0714,1955.9615
3812,1.8876,63.1988,150.8012,1977.3888
3813,1.8914,63.4714,151.5286,1993.5088
3814,1.8914,63.744,152.256,1993.5088
3815,1.897,64.03,152.97,2010.9698
3816,1.9106,64.3046,153.6954,2013.8298
3817,1.9106,64.5792,154.4208,2013.8298
3818,1.9168,64.8528,155.1472,2023.3875
3819,1.9168,65.1264,155.8736,2023.3875
3820,1.9194,65.3974,156.6026,2023.3875
3821,1.9206,65.6672,157.3328,2023.3875
3822,1.9264,65.932,158.068,2024.7792
3823,1.9312,66.1996,158.8004,2035.822
3824,1.932,66.4664,159.5336,2035.822
3825,1.9348,66.7352,160.2648,2043.5404
3826,1.9352,67.0038,160.9962,2044.1218
3827,1.9372,67.279,161.721,2053.066
3828,1.9414,67.5566,162.4434,2065.1965
3829,1.9448,67.8374,163.1626,2072.7146
3830,1.9448,68.1182,163.8818,2072.7146
3831,1.948,68.3968,164.6032,2074.0146
3832,1.975,68.6758,165.3242,2112.8455
3833,1.9756,68.9542,166.0458,2112.8455
3834,1.9756,69.2326,166.7674,2112.8455
3835,1.9796,69.512,167.488,2122.5955
3836,1.9952,69.7932,168.2068,2147.8777
3837,1.9992,70.0716,168.9284,2149.621
3838,1.9996,70.3496,169.6504,2149.621
3839,2.006,70.6294,170.3706,2165.8003
3840,2.0084,70.9108,171.0892,2174.3667
3841,2.0086,71.192,171.808,2174.3667
3842,2.0188,71.4764,172.5236,2199.3037
3843,2.0204,71.7592,173.2408,2199.3037
